Zip Code,State,Geography,Total population,Male; Estimate; Total population,Female; Estimate; Total population, AGE - Under 5 years, AGE - 5 to 9 years, AGE - 10 to 14 years, AGE - 15 to 19 years, AGE - 20 to 24 years, AGE - 25 to 29 years, AGE - 30 to 34 years, AGE - 35 to 39 years, AGE - 40 to 44 years, AGE - 45 to 49 years, AGE - 50 to 54 years, AGE - 55 to 59 years, AGE - 60 to 64 years, AGE - 65 to 69 years, AGE - 70 to 74 years, AGE - 75 to 79 years, AGE - 80 to 84 years, AGE - 85 years and over
ZIP 38579,TN,ZCTA5 38579,1010,484,526,1266,1266,1103,1140,398,416,1031,1791,1375,1682,1103,1339,579,2026,633,307,271,344
ZIP 38580,TN,ZCTA5 38580,1377,679,698,724,796,398,941,1556,1917,561,760,2749,1085,922,832,1248,1700,1700,0,199,0
ZIP 38581,TN,ZCTA5 38581,4145,1925,2220,995,1646,1266,922,868,778,1194,1284,922,1646,1230,1519,1411,995,760,253,199,163
ZIP 38582,TN,ZCTA5 38582,1625,870,755,506,832,1483,1628,452,344,1103,488,904,2207,2749,651,832,2189,778,416,416,72
ZIP 38583,TN,ZCTA5 38583,24005,11701,12304,1013,1103,1140,1085,1121,1031,977,1067,1013,1266,1320,1284,1320,1013,868,633,525,289
ZIP 38585,TN,ZCTA5 38585,3622,1802,1820,959,1176,1085,1103,850,669,1248,1266,1085,1085,1302,1375,1320,1393,814,506,307,561
ZIP 38587,TN,ZCTA5 38587,1151,547,604,1067,850,850,633,0,2098,579,1194,1266,1393,922,760,1574,2587,705,1158,235,199
ZIP 38588,TN,ZCTA5 38588,968,493,475,1194,0,651,1375,687,525,416,1230,2279,615,2587,1357,1158,1556,904,922,109,525
ZIP 38589,TN,ZCTA5 38589,270,126,144,1067,1212,1610,2207,1537,1736,669,868,0,868,0,543,1266,344,2876,1266,0,0
ZIP 38601,MS,ZCTA5 38601,3242,1821,1421,922,1067,941,796,2858,1176,1375,687,1103,2496,705,832,977,561,253,416,705,199
ZIP 38603,MS,ZCTA5 38603,2661,1212,1449,633,904,1537,1103,416,452,922,1339,814,1067,2388,796,1447,1519,814,525,1194,253
ZIP 38606,MS,ZCTA5 38606,16081,7382,8699,1574,1556,1519,1411,1429,1176,941,959,1320,1393,1121,796,705,615,651,506,235,163
ZIP 38610,MS,ZCTA5 38610,3681,1780,1901,922,597,1248,2026,2279,543,1212,470,1972,1682,1085,1013,1628,868,181,54,36,271
ZIP 38611,MS,ZCTA5 38611,16310,8262,8048,1357,1103,1158,1067,1140,1302,941,1067,850,1320,1700,1230,1284,687,904,543,235,181
ZIP 38614,MS,ZCTA5 38614,19667,9077,10590,1519,1393,1610,1357,1375,1121,1212,1013,796,1121,1158,1103,995,705,597,470,307,253
ZIP 38617,MS,ZCTA5 38617,782,409,373,1049,995,525,1755,1809,1067,995,1248,398,886,1140,3292,1501,235,488,326,253,163
ZIP 38618,MS,ZCTA5 38618,11902,5651,6251,1339,959,1519,1230,850,1067,1049,850,1501,1411,1339,832,1339,922,687,543,307,362
ZIP 38619,MS,ZCTA5 38619,5597,3009,2588,1375,633,886,633,1393,1375,1899,579,778,1537,1773,1447,1320,687,669,416,326,362
ZIP 38620,MS,ZCTA5 38620,3511,1586,1925,452,687,2261,832,1682,850,1067,669,1357,1592,1610,1483,1194,669,705,506,380,72
ZIP 38621,MS,ZCTA5 38621,1530,649,881,1447,2171,1230,760,1393,1067,1140,525,1194,760,1212,1266,1628,579,669,561,127,344
ZIP 38622,MS,ZCTA5 38622,547,272,275,1519,1429,1429,959,1158,1646,561,633,235,886,633,1845,1194,1429,1284,199,434,633
ZIP 38623,MS,ZCTA5 38623,276,156,120,1248,398,525,1827,2098,398,525,1972,0,1646,0,3473,1574,597,1827,0,0,0
ZIP 38625,MS,ZCTA5 38625,876,379,497,2496,1610,1049,778,1357,1266,1284,1519,1013,669,1212,1411,488,561,398,326,597,36
ZIP 38626,MS,ZCTA5 38626,1164,640,524,0,1736,1049,2442,145,127,868,0,1158,1718,2116,868,1592,1266,941,1501,235,326
ZIP 38627,MS,ZCTA5 38627,1037,522,515,579,1266,2207,1085,868,416,1447,2207,1465,2514,742,1013,651,326,543,362,253,163
ZIP 38629,MS,ZCTA5 38629,2002,906,1096,1447,959,1067,1899,1339,398,1574,705,1121,1755,1302,1592,326,1067,705,326,380,72
ZIP 38630,MS,ZCTA5 38630,331,156,175,1483,1031,0,3220,2134,2514,1375,597,2623,705,1031,217,0,271,868,0,0,0
ZIP 38631,MS,ZCTA5 38631,932,413,519,2460,1773,886,1339,778,1537,778,615,904,1393,1140,1809,597,959,271,452,271,109
ZIP 38632,MS,ZCTA5 38632,26207,12839,13368,1194,1339,1284,1375,724,941,995,1302,1537,1176,1393,1357,1085,922,561,488,199,217
ZIP 38633,MS,ZCTA5 38633,2776,1426,1350,742,1483,651,1954,1447,651,1320,1194,886,597,1031,1574,886,1736,868,543,380,127
ZIP 38635,MS,ZCTA5 38635,16291,7966,8325,922,1140,1248,1067,1700,1049,1302,814,1574,1447,1212,1284,1067,868,452,470,271,235
ZIP 38637,MS,ZCTA5 38637,26575,13052,13523,1592,1447,1429,1519,1103,1176,1628,1357,1320,1320,977,904,886,579,416,181,181,109
ZIP 38639,MS,ZCTA5 38639,1258,539,719,1990,1284,1501,1736,1935,1429,1483,742,941,1140,1411,742,742,362,344,0,109,235
ZIP 38641,MS,ZCTA5 38641,2610,1293,1317,525,1682,1393,1067,977,1809,1031,850,2496,922,995,1972,724,832,145,506,127,36
ZIP 38642,MS,ZCTA5 38642,2474,1134,1340,724,1574,1574,1266,1357,1646,814,1158,1411,1682,1176,1556,398,543,380,145,452,235
ZIP 38643,MS,ZCTA5 38643,2329,1026,1303,1429,941,1302,1176,1628,1031,1230,1375,1483,1140,1429,832,995,959,380,615,54,109
ZIP 38644,MS,ZCTA5 38644,315,186,129,579,181,2695,3437,742,0,398,922,2406,1718,109,525,796,525,687,1501,579,289
ZIP 38645,MS,ZCTA5 38645,1754,802,952,1375,1284,380,2858,1158,1013,470,1592,2171,814,1845,977,434,416,199,705,199,199
ZIP 38646,MS,ZCTA5 38646,3282,1585,1697,1266,1556,1266,1067,868,1375,778,977,1230,1103,1121,1194,1158,1230,543,326,651,398
ZIP 38647,MS,ZCTA5 38647,1267,758,509,253,506,1465,796,2749,0,362,2026,2677,1121,307,886,941,506,2406,886,235,0
ZIP 38650,MS,ZCTA5 38650,3747,1783,1964,1067,1881,1031,1610,705,959,959,904,1194,1755,1085,1067,1393,506,669,470,543,289
ZIP 38651,MS,ZCTA5 38651,7014,3580,3434,977,1194,1375,995,1393,1067,742,922,1302,1411,1501,1664,1121,705,904,470,163,145
ZIP 38652,MS,ZCTA5 38652,15984,7687,8297,1194,995,1375,1121,1085,1158,1085,1447,1103,1176,1085,1121,1194,1013,615,724,362,253
ZIP 38654,MS,ZCTA5 38654,48112,23356,24756,995,1357,1519,1302,1121,868,1140,1248,1465,1610,1320,1067,868,724,651,326,289,217
ZIP 38655,MS,ZCTA5 38655,38419,18690,19729,1013,1158,977,1194,3310,1447,1103,1140,1158,742,1067,868,904,651,488,253,289,326
ZIP 38658,MS,ZCTA5 38658,2116,1140,976,470,127,2026,1610,615,2008,1013,1284,832,904,1556,1519,1700,922,669,597,54,217
ZIP 38659,MS,ZCTA5 38659,2313,1094,1219,1031,2912,1284,669,1176,1103,1429,1212,1194,1103,922,886,705,470,742,850,271,145
ZIP 38661,MS,ZCTA5 38661,1971,906,1065,488,199,0,3129,922,904,1302,1248,850,687,1917,832,1845,1483,271,868,778,362
ZIP 38663,MS,ZCTA5 38663,12383,6083,6300,1140,1628,1736,1049,941,1320,868,1176,1121,1357,1121,705,1121,742,832,561,416,289
ZIP 38664,MS,ZCTA5 38664,3245,1607,1638,1809,1447,1266,1013,1465,2442,1809,1375,1664,145,1158,705,1121,145,163,217,145,0
ZIP 38665,MS,ZCTA5 38665,2775,1159,1616,1682,1320,1664,1121,1899,1013,959,1592,615,452,1700,1664,995,669,235,289,217,0
ZIP 38666,MS,ZCTA5 38666,6936,3444,3492,1574,1085,1284,1194,742,850,922,1447,995,868,1013,1501,1411,1320,651,506,307,416
ZIP 38668,MS,ZCTA5 38668,14422,7430,6992,904,1212,1429,1791,1610,941,1266,977,1031,1103,1085,1140,1158,922,705,289,253,271
ZIP 38670,MS,ZCTA5 38670,1054,525,529,687,1610,1501,1646,1990,597,1266,1230,1085,1284,814,995,1682,326,344,326,506,163
ZIP 38671,MS,ZCTA5 38671,35880,16834,19046,1411,1411,1411,1357,1176,1628,1501,1230,1194,1013,1121,922,814,597,488,362,307,163
ZIP 38672,MS,ZCTA5 38672,12224,5857,6367,1031,1827,1899,1266,561,615,1393,1519,2062,1465,1320,904,796,488,398,235,163,127
ZIP 38673,MS,ZCTA5 38673,642,218,424,3129,470,90,868,1013,2786,3654,199,163,760,2026,669,760,615,36,0,0,814
ZIP 38674,MS,ZCTA5 38674,960,501,459,2912,941,326,579,1809,525,0,796,633,1411,2152,814,1302,2044,1176,687,0,0
ZIP 38676,MS,ZCTA5 38676,6393,2837,3556,1718,1628,1574,1085,1284,922,1085,1357,724,1375,1158,1194,904,886,307,434,199,253
ZIP 38677,MS,ZCTA5 38677,4643,2119,2524,90,0,0,13584,4016,145,0,18,54,0,0,163,0,36,0,0,0,0
ZIP 38680,MS,ZCTA5 38680,5794,3002,2792,1339,1718,1339,995,1103,922,1863,2080,1519,1085,922,525,1085,597,163,199,199,452
ZIP 38683,MS,ZCTA5 38683,5323,2481,2842,1266,579,1447,1375,1103,687,1158,1230,1375,832,922,1700,1230,1049,1049,579,307,217
ZIP 38685,MS,ZCTA5 38685,1017,427,590,1773,1121,289,1881,452,561,778,1483,1339,724,1103,2080,2388,543,561,995,0,0
ZIP 38701,MS,ZCTA5 38701,22959,10764,12195,1266,1049,1411,1158,1465,1085,1067,1085,959,1176,1483,1537,1049,760,615,434,289,235
ZIP 38702,MS,ZCTA5 38702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIP 38703,MS,ZCTA5 38703,14262,6407,7855,1682,1339,1700,1483,922,1176,1194,1140,1013,1067,1013,922,1049,778,488,398,344,362
ZIP 38704,MS,ZCTA5 38704,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18088,0
ZIP 38720,MS,ZCTA5 38720,700,338,362,2098,1140,1158,886,1248,651,1284,832,488,1266,1339,1519,488,1755,1103,416,199,199
ZIP 38721,MS,ZCTA5 38721,988,506,482,1085,1212,1501,1140,1302,181,1067,941,1266,1519,1411,1556,1411,1067,398,109,344,597
ZIP 38722,MS,ZCTA5 38722,448,235,213,1013,1248,922,724,1501,724,1809,597,1140,1447,1284,2134,1375,597,452,687,398,0
ZIP 38723,MS,ZCTA5 38723,22,8,14,0,0,0,0,0,0,0,0,0,0,0,6584,5752,0,0,5752,0,0
ZIP 38725,MS,ZCTA5 38725,852,381,471,1574,1230,1176,1067,1537,1121,561,1447,1049,1375,1103,760,687,1194,1393,579,199,90
ZIP 38726,MS,ZCTA5 38726,483,222,261,1574,1357,1357,2134,742,941,904,1302,1429,1049,904,561,1537,778,742,109,525,145
ZIP 38730,MS,ZCTA5 38730,1947,957,990,1049,2333,1375,1537,977,904,1574,380,1194,1501,1302,1121,904,380,561,597,362,54
ZIP 38731,MS,ZCTA5 38731,184,59,125,0,0,8954,0,0,0,5010,0,0,1176,0,0,0,687,886,0,0,1375
ZIP 38732,MS,ZCTA5 38732,18060,8459,9601,1230,1284,1067,1646,1610,1339,1248,1266,886,1013,922,1447,959,832,525,307,271,271
ZIP 38736,MS,ZCTA5 38736,379,166,213,579,850,1718,1339,4395,850,326,1103,959,2297,380,1049,579,579,579,0,54,470
ZIP 38737,MS,ZCTA5 38737,3748,2383,1365,1121,1411,1176,850,1700,2279,1610,1339,904,868,1519,669,724,488,669,326,235,181
ZIP 38738,MS,ZCTA5 38738,2813,2794,19,0,326,326,54,1465,2568,3382,2044,2478,2532,1158,1248,326,145,18,18,0,0
ZIP 38740,MS,ZCTA5 38740,384,196,188,1411,1610,1736,90,1501,1266,2731,470,0,470,1140,1266,2315,145,235,615,289,796
ZIP 38744,MS,ZCTA5 38744,928,429,499,307,2496,1393,2370,868,253,1773,1465,145,904,1519,1230,271,307,2062,217,0,506
ZIP 38745,MS,ZCTA5 38745,111,54,57,2767,163,326,1465,814,814,651,651,1628,1791,2767,2116,0,0,1140,488,0,488
ZIP 38746,MS,ZCTA5 38746,439,233,206,1447,1646,1682,995,579,2225,579,488,1899,253,1972,1809,904,904,163,326,199,0
ZIP 38748,MS,ZCTA5 38748,4209,2081,2128,1610,1013,1320,1881,778,1339,742,850,1158,1085,1339,1049,1121,959,452,724,597,90
