Zip Code,State,Geography,Total population,Male; Estimate; Total population,Female; Estimate; Total population, AGE - Under 5 years, AGE - 5 to 9 years, AGE - 10 to 14 years, AGE - 15 to 19 years, AGE - 20 to 24 years, AGE - 25 to 29 years, AGE - 30 to 34 years, AGE - 35 to 39 years, AGE - 40 to 44 years, AGE - 45 to 49 years, AGE - 50 to 54 years, AGE - 55 to 59 years, AGE - 60 to 64 years, AGE - 65 to 69 years, AGE - 70 to 74 years, AGE - 75 to 79 years, AGE - 80 to 84 years, AGE - 85 years and over
ZIP 00601,PR,ZCTA5 00601,18088,8824,9264,1049,1140,1339,1393,1284,1176,1121,1140,1067,1176,1212,1266,1049,941,615,525,253,326
ZIP 00602,PR,ZCTA5 00602,40859,20079,20780,941,1121,1103,1357,1302,1140,1176,1140,1194,1357,1320,1194,1194,904,687,398,289,271
ZIP 00603,PR,ZCTA5 00603,53162,25971,27191,959,1158,1121,1302,1212,1067,1194,1212,1121,1176,1140,1103,1248,1085,796,561,416,235
ZIP 00606,PR,ZCTA5 00606,6415,3188,3227,1031,1049,1302,1339,1339,941,1067,1140,1357,1176,1266,778,1610,941,705,344,271,470
ZIP 00610,PR,ZCTA5 00610,28805,13958,14847,941,977,1320,1375,1248,1067,1176,977,1447,1248,1176,1085,1158,959,814,597,253,271
ZIP 00612,PR,ZCTA5 00612,66251,31226,35025,1031,1049,1230,1320,1266,1085,1140,1049,1158,1248,1158,1049,1085,1049,742,525,470,452
ZIP 00616,PR,ZCTA5 00616,10466,5205,5261,778,886,1067,1393,1158,922,1140,1158,1718,1320,1085,1140,904,1248,941,434,416,398
ZIP 00617,PR,ZCTA5 00617,24917,11927,12990,1031,1357,1158,1320,1248,1140,1302,1284,1248,1176,995,941,1085,1031,597,543,307,326
ZIP 00622,PR,ZCTA5 00622,6589,2915,3674,922,1302,1121,1194,941,1013,904,1248,1140,1103,778,1140,1212,959,1411,796,597,307
ZIP 00623,PR,ZCTA5 00623,44117,21308,22809,959,1067,1212,1284,1158,959,1085,1284,1284,1230,1085,1176,995,1121,778,633,398,416
ZIP 00624,PR,ZCTA5 00624,24902,12123,12779,1194,1320,1320,1393,1483,1248,1140,1121,1031,1176,1248,1158,904,778,669,398,253,235
ZIP 00627,PR,ZCTA5 00627,34438,16630,17808,959,1176,1194,1375,1266,1067,1176,1284,1176,1266,1176,1103,1103,922,778,470,253,362
ZIP 00631,PR,ZCTA5 00631,1847,891,956,1031,959,633,1140,1736,1899,886,687,742,868,1592,814,1537,1230,941,886,506,0
ZIP 00637,PR,ZCTA5 00637,24799,11788,13011,1067,1013,1357,1357,1194,1031,1121,1049,1248,1067,1121,1176,1031,1013,922,579,362,398
ZIP 00638,PR,ZCTA5 00638,18365,8987,9378,1103,1140,1320,1266,1429,1194,1103,904,1212,1248,1284,1013,1212,995,561,470,326,307
ZIP 00641,PR,ZCTA5 00641,30183,14707,15476,1031,1067,1248,1375,1302,1121,1049,1013,1103,1158,1212,1266,1158,1049,705,543,398,307
ZIP 00646,PR,ZCTA5 00646,38305,18388,19917,1085,1302,1393,1284,1085,995,1212,1212,1592,1230,1121,1085,1031,922,597,380,326,217
ZIP 00647,PR,ZCTA5 00647,5245,2621,2624,868,995,1067,886,1013,1067,1447,778,579,814,1320,886,1592,1827,959,941,506,543
ZIP 00650,PR,ZCTA5 00650,14679,7215,7464,1049,1339,1194,1375,1393,1049,1158,1085,1302,1194,1121,1085,1031,814,832,488,326,217
ZIP 00652,PR,ZCTA5 00652,3831,1857,1974,597,1176,1990,1411,796,434,1700,1013,1429,868,1085,1067,1375,796,814,1013,181,344
ZIP 00653,PR,ZCTA5 00653,13427,6386,7041,1176,1393,1085,1483,1339,1067,1067,1212,1284,1121,868,868,1429,1067,669,488,253,235
ZIP 00656,PR,ZCTA5 00656,20839,10065,10774,1085,941,1574,1302,1266,1212,1158,922,1302,1085,1140,1194,1085,1031,687,561,271,307
ZIP 00659,PR,ZCTA5 00659,41830,20220,21610,977,1158,1212,1284,1248,1140,1194,1212,1248,1266,1158,1049,1085,959,814,470,326,271
ZIP 00660,PR,ZCTA5 00660,17023,7918,9105,832,1067,1067,1176,1031,941,1067,1121,1266,1121,1067,1013,1266,1103,1158,886,561,362
ZIP 00662,PR,ZCTA5 00662,43101,20949,22152,959,1067,1248,1248,1194,1103,1212,1266,1230,1176,1158,1031,1158,922,886,470,362,362
ZIP 00664,PR,ZCTA5 00664,16298,8112,8186,1158,1194,1411,1519,1429,1230,1230,1031,1176,1176,1140,995,1140,868,506,344,253,289
ZIP 00667,PR,ZCTA5 00667,25510,12450,13060,941,1049,1158,1266,1212,1049,1013,1121,1067,1121,1121,1248,1194,1013,1067,579,380,452
ZIP 00669,PR,ZCTA5 00669,28442,14089,14353,995,959,1393,1357,1284,1176,1140,1121,1140,1212,1194,1121,1085,1085,615,561,289,362
ZIP 00670,PR,ZCTA5 00670,9478,4696,4782,1176,1067,1194,1320,1357,1158,1140,1158,959,1212,1230,1067,1194,778,959,398,452,235
ZIP 00674,PR,ZCTA5 00674,43240,20547,22693,1049,1049,1393,1393,1212,1103,1121,1067,1121,1140,1158,1230,1049,995,778,506,416,326
ZIP 00676,PR,ZCTA5 00676,39513,19402,20111,1067,1411,1158,1339,1284,1212,1266,1085,1284,1248,1212,1067,1067,832,669,380,271,289
ZIP 00677,PR,ZCTA5 00677,15012,7334,7678,941,922,1266,1140,1013,941,1121,1248,1158,1248,1158,1320,1049,1067,1085,814,289,289
ZIP 00678,PR,ZCTA5 00678,27045,13157,13888,1031,1140,1230,1339,1320,1103,1230,995,1320,1230,1284,941,1176,941,724,488,271,307
ZIP 00680,PR,ZCTA5 00680,54824,26537,28287,814,941,977,1375,2152,1049,977,922,904,995,1212,1140,1031,1158,778,705,506,452
ZIP 00682,PR,ZCTA5 00682,31908,15174,16734,995,886,1212,1718,1845,1212,1085,778,1049,959,814,1103,1212,1067,760,687,326,398
ZIP 00683,PR,ZCTA5 00683,33050,16032,17018,1013,1013,1085,1320,1429,1067,977,922,1194,1121,1103,1121,1158,1085,959,651,416,470
ZIP 00685,PR,ZCTA5 00685,41403,20283,21120,995,1176,1194,1284,1121,977,1085,1103,1121,1194,1158,1049,1357,1085,850,561,362,416
ZIP 00687,PR,ZCTA5 00687,32484,16186,16298,1103,1085,1592,1483,1429,1266,1212,1212,1140,1212,1194,1085,904,687,615,398,217,235
ZIP 00688,PR,ZCTA5 00688,13251,6822,6429,796,760,1103,1194,1519,1339,995,1357,1429,1140,1212,1085,1103,1158,868,525,253,271
ZIP 00690,PR,ZCTA5 00690,5906,2837,3069,1230,1230,1375,1266,1194,1628,1103,1194,977,977,1121,796,796,1013,886,615,271,452
ZIP 00692,PR,ZCTA5 00692,37329,17734,19595,1140,1103,1483,1357,1357,1194,1248,1230,1121,1121,1158,941,1067,868,651,506,253,271
ZIP 00693,PR,ZCTA5 00693,59513,28817,30696,1013,1121,1339,1284,1230,1140,1194,1085,1266,1230,1230,1121,977,904,814,452,326,344
ZIP 00694,PR,ZCTA5 00694,134,82,52,0,0,0,2297,0,0,0,0,0,0,0,3509,3780,0,5408,3111,0,0
ZIP 00698,PR,ZCTA5 00698,40276,19474,20802,977,977,1357,1284,1194,1067,1121,1085,1212,1212,1230,1194,1176,1013,705,434,434,398
ZIP 00703,PR,ZCTA5 00703,28739,13974,14765,1103,977,1483,1266,1320,1230,1248,1284,995,1121,1212,1266,886,868,705,543,326,253
ZIP 00704,PR,ZCTA5 00704,8100,3916,4184,1483,1357,1393,1411,1230,1339,1266,1501,1248,995,814,1176,886,778,506,416,109,163
ZIP 00705,PR,ZCTA5 00705,25090,12164,12926,1031,1140,1176,1339,1339,1158,1085,977,1176,1248,1339,1067,1212,868,742,525,326,344
ZIP 00707,PR,ZCTA5 00707,11904,5883,6021,1049,1085,1140,1302,1302,1067,1013,1031,1230,1230,1176,1176,1194,832,1031,344,416,452
ZIP 00714,PR,ZCTA5 00714,19229,9030,10199,1140,1393,1230,1375,1230,1140,1212,1302,1067,1067,1049,1140,1013,1013,687,452,217,326
ZIP 00715,PR,ZCTA5 00715,3714,1964,1750,778,850,2243,1031,597,1158,506,1320,1574,1103,1085,796,1375,1429,1031,832,289,90
ZIP 00716,PR,ZCTA5 00716,31362,15470,15892,1067,1140,1393,1140,1067,1230,1194,1158,886,1013,1067,1212,1393,959,760,579,380,434
ZIP 00717,PR,ZCTA5 00717,18176,7902,10274,977,1357,1375,1284,1899,1357,1121,922,832,687,1158,868,1049,832,778,597,470,506
ZIP 00718,PR,ZCTA5 00718,26786,12770,14016,1158,1339,1339,1339,1284,1212,1357,1248,1230,1013,995,922,1085,778,796,344,307,326
ZIP 00719,PR,ZCTA5 00719,30772,15184,15588,1085,1049,1375,1357,1411,1212,1230,995,1140,1230,1248,1158,1067,832,669,416,253,380
ZIP 00720,PR,ZCTA5 00720,22862,11523,11339,1031,1103,1447,1610,1429,1140,1103,1013,1284,1248,1302,1049,1067,796,470,434,307,253
ZIP 00723,PR,ZCTA5 00723,18766,9258,9508,1013,1121,1121,1375,1302,1085,995,922,1212,1266,1320,1302,1085,1031,742,651,253,271
ZIP 00725,PR,ZCTA5 00725,88152,41732,46420,1013,1158,1302,1302,1248,1140,1176,1158,1103,1230,1103,1031,1049,922,778,633,398,362
ZIP 00727,PR,ZCTA5 00727,57036,26692,30344,959,995,1284,1320,1284,1103,1140,1357,1266,1248,1248,959,1212,868,742,561,235,271
ZIP 00728,PR,ZCTA5 00728,42333,20786,21547,1013,1049,1266,1465,1628,1158,1320,1049,1212,1230,922,1031,1158,868,633,525,271,253
ZIP 00729,PR,ZCTA5 00729,54198,25985,28213,1194,1121,1447,1429,1375,1085,1176,1158,1339,1248,1176,995,1049,850,561,416,235,235
ZIP 00730,PR,ZCTA5 00730,36201,17083,19118,1194,1085,1103,1447,1320,1212,904,977,977,1121,1140,1067,1194,995,832,615,543,344
ZIP 00731,PR,ZCTA5 00731,14320,7078,7242,1085,995,1031,1411,1194,1176,941,850,1230,1320,1194,995,1339,1266,814,705,326,253
ZIP 00735,PR,ZCTA5 00735,13203,6221,6982,1013,1248,1085,1302,1284,1085,1067,1013,1284,1158,995,922,1194,1103,959,633,326,398
ZIP 00736,PR,ZCTA5 00736,51116,24797,26319,995,904,1393,1284,1393,1121,1176,1049,1248,1212,1212,1140,1067,1067,633,488,362,344
ZIP 00738,PR,ZCTA5 00738,33835,16018,17817,1031,1103,1284,1339,1284,1049,1067,1176,1284,1176,1013,1067,941,1013,868,543,398,452
ZIP 00739,PR,ZCTA5 00739,38424,18681,19743,1031,1121,1302,1393,1266,1212,1194,1302,1085,1284,1320,1230,1031,850,615,398,289,217
ZIP 00740,PR,ZCTA5 00740,1704,703,1001,2171,1140,1103,2152,1483,1049,651,1067,922,724,1085,488,199,1302,199,1085,814,452
ZIP 00741,PR,ZCTA5 00741,5365,2450,2915,922,1158,1049,1212,995,1121,1375,1103,1103,1158,1519,1212,904,1574,687,253,235,506
ZIP 00745,PR,ZCTA5 00745,54253,26513,27740,977,1194,1212,1375,1284,1121,1158,1103,1393,1266,1085,995,1140,1049,705,434,344,235
ZIP 00751,PR,ZCTA5 00751,23020,11161,11859,1049,1067,1357,1574,1266,1013,1230,1121,995,1140,1212,941,1230,959,724,488,326,326
ZIP 00754,PR,ZCTA5 00754,40022,19652,20370,977,1013,1302,1357,1266,1194,1230,1176,1158,1284,1284,1212,1013,832,724,362,362,362
ZIP 00757,PR,ZCTA5 00757,23114,11186,11928,1158,1230,1610,1483,1230,1031,1302,1339,1375,1121,995,977,868,886,579,380,235,253
ZIP 00765,PR,ZCTA5 00765,9139,4679,4460,1013,1212,1140,1302,1085,1121,904,615,1610,977,1266,1284,1194,1067,922,651,506,217
ZIP 00766,PR,ZCTA5 00766,25549,12522,13027,1158,1212,1339,1610,1447,1176,1067,1121,1067,1176,1212,1230,922,796,633,398,271,235
ZIP 00767,PR,ZCTA5 00767,36962,18010,18952,1031,1103,1302,1339,1284,1085,1121,1103,1194,1230,1284,1284,1067,977,651,470,271,326
ZIP 00769,PR,ZCTA5 00769,39871,19404,20467,1121,1031,1519,1339,1248,1158,1230,1230,1212,1194,1158,1085,1085,904,615,470,271,217
ZIP 00771,PR,ZCTA5 00771,38435,18656,19779,1049,1121,1393,1266,1212,1194,1375,1339,1230,1140,1103,1067,1140,850,687,344,271,307
ZIP 00772,PR,ZCTA5 00772,21682,10345,11337,1031,1176,1320,1447,1429,1248,1140,1266,1049,1212,1230,1212,959,850,597,326,362,271
ZIP 00773,PR,ZCTA5 00773,19731,9325,10406,1031,995,1447,1411,1248,1013,1121,1013,1375,1121,1121,1031,1158,959,886,615,235,326
ZIP 00775,PR,ZCTA5 00775,1585,916,669,1158,687,1284,1284,814,2152,1447,904,488,1339,1447,868,1537,814,669,326,470,380
ZIP 00777,PR,ZCTA5 00777,40863,19501,21362,1121,1302,1302,1357,1266,1194,1357,1519,1212,1158,1049,922,995,705,724,362,289,235
ZIP 00778,PR,ZCTA5 00778,46569,22202,24367,1049,1158,1447,1375,1212,1067,1320,1519,1284,1284,1176,959,977,760,615,434,181,253
ZIP 00780,PR,ZCTA5 00780,13678,6752,6926,1339,1140,1067,1483,1158,1013,1266,1230,1465,959,1664,995,886,742,778,506,253,163
ZIP 00782,PR,ZCTA5 00782,18595,9333,9262,995,850,1574,1411,1375,1212,1266,904,1176,1302,1302,1140,1031,904,669,416,289,271
ZIP 00783,PR,ZCTA5 00783,35856,17561,18295,1158,1248,1176,1429,1375,1230,1212,1103,1067,1230,1230,886,1212,886,651,470,253,271
ZIP 00784,PR,ZCTA5 00784,43251,21390,21861,1031,1248,1320,1429,1284,1284,1230,1103,1266,1158,1121,1158,886,868,615,470,289,289
ZIP 00786,PR,ZCTA5 00786,327,165,162,0,0,0,1664,724,2044,832,0,0,1773,1266,1212,1718,1827,2876,1664,506,0
ZIP 00791,PR,ZCTA5 00791,51757,24667,27090,995,1031,1266,1339,1284,1085,1103,1121,1230,1158,1121,1176,1230,995,724,561,307,326
ZIP 00794,PR,ZCTA5 00794,30462,14995,15467,1212,1176,1393,1610,1537,1320,1158,904,1194,1266,1212,995,977,687,561,380,235,271
ZIP 00795,PR,ZCTA5 00795,47106,22456,24650,1121,1266,1266,1501,1339,1121,1158,1194,1158,1194,1194,1158,904,904,615,525,271,217
ZIP 00901,PR,ZCTA5 00901,6428,3507,2921,760,398,398,705,1483,1646,1393,1447,1664,1284,1357,1121,1212,742,687,615,416,760
ZIP 00906,PR,ZCTA5 00906,43,31,12,0,0,0,0,6313,3780,0,0,2948,0,0,5047,0,0,0,0,0,0
ZIP 00907,PR,ZCTA5 00907,17910,8289,9621,579,868,687,724,1049,1140,1121,977,1302,1230,1610,1176,1411,1085,941,886,651,651
ZIP 00909,PR,ZCTA5 00909,6071,2857,3214,796,1121,1049,1447,1393,1429,922,1519,814,1465,1248,850,995,1103,832,307,344,452
ZIP 00911,PR,ZCTA5 00911,7425,3535,3890,904,850,687,651,904,977,1176,1339,977,1013,1302,1049,1103,1302,1302,1031,796,742
ZIP 00912,PR,ZCTA5 00912,6414,3085,3329,1049,687,1049,1592,1447,1158,1140,1519,1320,1103,1302,886,1067,724,724,615,289,470
ZIP 00913,PR,ZCTA5 00913,8179,3504,4675,1990,1990,995,1592,1574,1266,1103,922,1194,1013,1049,922,886,651,253,271,181,253
ZIP 00915,PR,ZCTA5 00915,30642,14411,16231,995,1176,1085,1429,1501,1158,1013,1140,995,1176,1320,1230,1103,850,651,525,470,271
ZIP 00917,PR,ZCTA5 00917,19723,8884,10839,742,941,814,1121,1266,1212,1121,941,1031,1266,1284,1194,1266,1212,977,669,416,615
ZIP 00918,PR,ZCTA5 00918,16553,7137,9416,1302,886,904,1013,1266,1447,1049,1194,1158,1013,922,1140,959,1049,778,687,705,633
ZIP 00920,PR,ZCTA5 00920,18729,8483,10246,724,904,995,904,1266,1212,1085,1212,1085,1230,1212,1411,1230,796,742,669,687,742
ZIP 00921,PR,ZCTA5 00921,38499,17280,21219,1302,1031,995,1248,1284,1320,1393,1013,1013,1302,1140,1103,959,705,633,597,561,452
ZIP 00923,PR,ZCTA5 00923,27853,12769,15084,1103,1140,1176,1483,1284,1121,1302,1176,1103,1067,1140,1085,1067,886,778,416,398,398
ZIP 00924,PR,ZCTA5 00924,56236,25402,30834,1266,1302,1375,1429,1230,1140,1140,959,977,1013,1103,959,1103,868,561,705,416,506
ZIP 00925,PR,ZCTA5 00925,7120,3675,3445,561,398,615,1881,3618,1302,1212,1176,1103,959,1121,977,904,669,651,398,344,217
ZIP 00926,PR,ZCTA5 00926,105093,48609,56484,832,1067,1085,1176,1176,1194,1121,1230,1230,1266,1230,1103,1121,941,778,633,452,416
ZIP 00927,PR,ZCTA5 00927,14764,6534,8230,452,814,1140,832,1357,1266,1194,597,868,1266,1266,1447,1248,1194,669,778,760,941
ZIP 00934,PR,ZCTA5 00934,188,117,71,0,2605,1736,868,1628,199,868,1827,3455,2116,1447,0,0,1339,0,0,0,0
ZIP 00936,PR,ZCTA5 00936,877,463,414,199,0,0,0,561,1357,1610,977,1121,525,1519,1863,922,2315,2297,253,1176,1429
ZIP 00949,PR,ZCTA5 00949,80406,37994,42412,1013,1103,1320,1266,1302,1194,1320,1212,1194,1176,1176,1085,1067,904,669,488,326,289
ZIP 00950,PR,ZCTA5 00950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIP 00951,PR,ZCTA5 00951,15,8,7,0,0,0,0,0,0,0,0,0,0,0,9641,0,0,8447,0,0,0
ZIP 00952,PR,ZCTA5 00952,9338,4608,4730,1248,904,1049,1230,1483,1393,814,724,1339,1320,1248,959,977,1103,1049,380,398,452
ZIP 00953,PR,ZCTA5 00953,73537,35494,38043,1067,1121,1556,1483,1339,1121,1248,1284,1393,1411,1284,941,941,669,525,307,235,163
ZIP 00956,PR,ZCTA5 00956,75830,36503,39327,941,1158,1284,1194,1248,1284,1212,1067,1230,1212,1049,1103,922,922,850,687,380,362
ZIP 00957,PR,ZCTA5 00957,44639,20759,23880,977,1121,1357,1411,1266,1158,1212,886,995,1031,1302,941,1158,977,832,687,434,326
ZIP 00959,PR,ZCTA5 00959,48699,21880,26819,1067,868,977,1302,1393,1212,1230,1103,1194,1212,1230,1121,922,814,742,669,561,470
ZIP 00960,PR,ZCTA5 00960,2037,1987,50,0,0,0,1302,3238,2804,2840,2550,2207,1357,995,326,163,127,127,36,0,0
ZIP 00961,PR,ZCTA5 00961,31774,15558,16216,850,868,814,1103,1320,1429,1266,1140,959,1266,1302,1266,1212,904,778,742,452,380
ZIP 00962,PR,ZCTA5 00962,21204,9859,11345,1158,1339,1339,1465,1429,1230,1121,959,995,1194,1284,1140,904,868,543,434,398,289
ZIP 00965,PR,ZCTA5 00965,8978,4294,4684,904,1393,922,1411,1284,1248,1447,1357,760,868,1429,1447,1103,724,561,633,344,271
ZIP 00966,PR,ZCTA5 00966,15785,7264,8521,868,1085,941,995,1158,1140,1158,1302,1031,1320,1085,1176,1357,1031,705,705,597,452
ZIP 00968,PR,ZCTA5 00968,3594,1446,2148,579,398,506,398,506,470,1194,922,1465,615,1266,1212,1935,2134,1194,1266,597,1429
ZIP 00969,PR,ZCTA5 00969,42316,19875,22441,904,1067,1067,1067,1140,1103,1266,1375,1121,1320,1339,1067,1158,850,724,597,452,488
ZIP 00971,PR,ZCTA5 00971,30349,14926,15423,778,977,1067,1411,1320,1230,1248,832,1320,1411,1320,1103,1284,959,687,615,307,235
ZIP 00976,PR,ZCTA5 00976,61862,29308,32554,1121,1176,1284,1284,1194,1176,1248,1158,1248,1194,1103,1158,995,922,724,380,326,362
ZIP 00979,PR,ZCTA5 00979,16157,7474,8683,597,561,814,687,1339,1067,1049,1194,1230,1194,1393,1610,1302,1339,669,760,724,525
ZIP 00982,PR,ZCTA5 00982,15132,6908,8224,850,886,1212,1031,1302,1013,1140,1085,1067,1140,1158,1230,1085,760,922,832,778,597
ZIP 00983,PR,ZCTA5 00983,40273,18162,22111,1140,1013,1230,1248,1320,1140,1140,1140,995,1266,959,1013,1031,1031,941,633,380,452
ZIP 00985,PR,ZCTA5 00985,35236,16498,18738,850,1031,1067,1375,1248,1013,1158,1194,1085,1103,1140,1067,1121,1248,1013,705,380,307
ZIP 00987,PR,ZCTA5 00987,60544,28340,32204,977,1248,1248,1501,1248,1158,1320,1284,1339,1266,1158,995,922,778,651,416,307,253
ZIP 01001,MA,ZCTA5 01001,17141,7909,9232,1067,742,977,977,1103,1212,1103,1067,922,1465,1411,1393,1121,814,633,615,597,832
ZIP 01002,MA,ZCTA5 01002,29844,14604,15240,543,561,687,2713,5680,977,669,651,579,597,977,941,724,525,326,344,344,235
ZIP 01003,MA,ZCTA5 01003,11062,5398,5664,0,0,72,9062,8501,416,0,18,0,18,0,0,0,0,0,0,0,0
ZIP 01005,MA,ZCTA5 01005,5113,2738,2375,705,724,2116,1664,922,724,579,579,2207,1103,1411,1592,1176,1176,199,289,488,470
ZIP 01007,MA,ZCTA5 01007,14774,7323,7451,1013,1266,1339,1357,941,669,705,1411,1067,1592,1700,1700,1176,796,597,416,199,163
ZIP 01008,MA,ZCTA5 01008,1212,623,589,416,724,1194,1411,977,543,977,669,977,2171,2171,1682,1519,1736,307,127,235,289
ZIP 01009,MA,ZCTA5 01009,546,262,284,434,362,326,1827,362,0,434,3183,1465,1954,525,2623,1320,1954,398,525,0,398
ZIP 01010,MA,ZCTA5 01010,3667,1788,1879,579,1429,1031,1067,506,669,1212,959,1375,1863,1429,2152,1031,1375,488,615,72,253
ZIP 01011,MA,ZCTA5 01011,1478,754,724,1031,1212,1429,1121,434,1537,724,850,1375,1357,2008,1845,1357,814,326,271,109,253
ZIP 01012,MA,ZCTA5 01012,499,254,245,362,977,615,1592,1483,362,253,868,904,651,3835,1881,1845,1773,253,0,145,253
ZIP 01013,MA,ZCTA5 01013,22299,10867,11432,995,959,1248,1483,1375,1357,1411,1103,1158,1140,1375,850,995,597,705,452,434,470
ZIP 01020,MA,ZCTA5 01020,30593,15302,15291,1031,1013,995,1013,922,1302,1212,868,1067,1393,1302,1556,1212,922,832,506,506,452
ZIP 01022,MA,ZCTA5 01022,2711,1128,1583,127,470,705,2207,1736,1917,796,904,850,778,1628,742,1320,1447,344,1447,398,289
ZIP 01026,MA,ZCTA5 01026,1009,475,534,705,687,922,1537,326,651,760,1574,705,1501,2478,977,1212,1357,434,778,814,724
ZIP 01027,MA,ZCTA5 01027,17652,8542,9110,669,760,1013,687,1031,1339,1284,1013,1248,1447,1755,1773,1194,941,488,579,488,416
ZIP 01028,MA,ZCTA5 01028,15917,7407,8510,922,995,1429,941,868,705,868,959,1176,1447,1628,1447,1085,868,868,434,742,705
ZIP 01029,MA,ZCTA5 01029,701,361,340,778,181,1682,1339,416,199,561,977,850,2641,1447,1628,1556,1085,778,1140,615,235
ZIP 01030,MA,ZCTA5 01030,11485,5733,5752,796,1103,1158,1194,1121,941,687,868,1465,1628,1465,1429,1592,1176,434,416,289,307
ZIP 01031,MA,ZCTA5 01031,1389,740,649,1284,814,1067,1176,1339,1194,1284,1121,977,742,1537,1320,1320,1140,651,579,289,253
ZIP 01032,MA,ZCTA5 01032,585,253,332,1574,561,434,1230,253,434,1230,1176,1863,904,2713,1736,959,995,1085,579,181,181
ZIP 01033,MA,ZCTA5 01033,6214,2856,3358,1158,1176,669,1067,1103,742,959,1049,1519,1610,1085,2044,1302,1140,380,344,217,561
ZIP 01034,MA,ZCTA5 01034,2061,1105,956,506,850,1194,1375,1158,506,561,796,1284,1429,2098,1664,1339,1447,868,434,289,307
ZIP 01035,MA,ZCTA5 01035,5285,2386,2899,579,977,705,796,1483,1610,705,868,1176,1357,922,760,2189,1158,724,814,543,742
ZIP 01036,MA,ZCTA5 01036,5141,2567,2574,633,470,1592,1230,1121,506,271,886,1121,1664,1682,1664,1320,1140,995,742,470,579
ZIP 01037,MA,ZCTA5 01037,721,450,271,0,344,579,3310,1049,199,633,0,307,1664,2514,2677,1700,1248,1447,145,127,127
ZIP 01038,MA,ZCTA5 01038,2837,1323,1514,543,832,1411,977,597,525,886,597,1610,1556,2098,1881,1031,778,1121,1121,217,344
ZIP 01039,MA,ZCTA5 01039,1354,598,756,669,886,434,1031,1158,850,904,1049,615,904,1917,2044,2966,579,796,289,289,687
ZIP 01040,MA,ZCTA5 01040,40079,19209,20870,1339,1212,1031,1357,1320,1447,1194,1230,1121,1158,1266,941,941,633,452,525,344,597
ZIP 01050,MA,ZCTA5 01050,2512,1222,1290,1248,1574,1266,977,868,669,525,1447,1103,1628,1537,1465,1302,977,814,488,54,145
ZIP 01053,MA,ZCTA5 01053,1847,959,888,271,1103,1320,959,145,742,651,525,1248,2134,1809,1158,886,1176,1429,724,687,1140
ZIP 01054,MA,ZCTA5 01054,1836,924,912,705,832,959,922,850,380,705,1248,1176,1103,1140,1700,2171,1791,1085,760,289,253
ZIP 01056,MA,ZCTA5 01056,21288,10245,11043,778,922,1085,1013,941,1121,633,1031,1574,1248,1556,1556,1411,904,742,543,488,525
ZIP 01057,MA,ZCTA5 01057,8645,4202,4443,669,868,1429,1085,922,742,633,814,1121,1917,1827,1664,1718,1013,669,398,326,271
ZIP 01060,MA,ZCTA5 01060,15348,6168,9180,633,796,543,1773,2351,1646,1556,922,1049,1013,1085,1266,1049,868,452,271,307,525
ZIP 01062,MA,ZCTA5 01062,10830,5386,5444,814,1103,1176,1140,832,760,1085,1031,1212,1556,1537,1610,1393,1013,724,434,434,235
ZIP 01063,MA,ZCTA5 01063,612,19,593,0,0,0,6855,10943,289,0,0,0,0,0,0,0,0,0,0,0,0
ZIP 01066,MA,ZCTA5 01066,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18088,0,0
ZIP 01068,MA,ZCTA5 01068,1791,900,891,669,1248,1230,1158,1176,941,868,669,1248,1519,1339,2388,1537,633,434,416,326,253
ZIP 01069,MA,ZCTA5 01069,8982,4457,4525,977,1194,1212,959,1067,1393,995,904,1067,1483,1537,1700,1140,687,669,326,289,488
ZIP 01070,MA,ZCTA5 01070,580,300,280,434,724,1031,1501,615,742,525,724,724,1592,1519,1845,1990,1519,904,724,687,289
ZIP 01071,MA,ZCTA5 01071,1361,666,695,778,922,1284,868,579,579,904,1628,1067,1682,2261,1339,1574,796,651,904,127,127
ZIP 01072,MA,ZCTA5 01072,1482,710,772,416,1176,1628,1266,778,307,742,1429,1339,1176,1845,2225,2116,796,217,326,199,90
ZIP 01073,MA,ZCTA5 01073,5958,2955,3003,760,1176,1393,959,886,669,868,1447,1049,1972,941,1809,1212,1049,814,307,326,488
ZIP 01074,MA,ZCTA5 01074,301,172,129,5408,0,0,0,0,0,4142,3907,0,0,4088,0,0,543,0,0,0,0
ZIP 01075,MA,ZCTA5 01075,17832,6985,10847,669,778,742,1845,2080,850,832,886,1375,1121,1302,1230,1320,850,633,724,380,470
ZIP 01077,MA,ZCTA5 01077,9599,4737,4862,669,850,1592,796,1519,615,941,1284,1121,1899,1429,1339,1158,922,452,398,597,543
ZIP 01079,MA,ZCTA5 01079,542,279,263,0,0,868,1773,307,3310,163,163,3545,1230,1773,1140,796,1140,127,1773,0,0
ZIP 01080,MA,ZCTA5 01080,2176,1037,1139,488,633,1501,1447,1302,941,1537,1501,1067,1085,1176,1700,1194,398,380,886,434,416
ZIP 01081,MA,ZCTA5 01081,1807,942,865,742,1212,1085,1158,669,488,796,1248,1827,760,1592,1411,1736,1556,868,271,109,543
ZIP 01082,MA,ZCTA5 01082,10394,5227,5167,904,1140,1103,1031,1320,886,941,1049,1085,1556,1700,1248,1248,1230,669,470,109,380
